,,title,description,skill
cg,5,Energy Industry Fundamentals Certificate,"The Energy Industry Fundamentals course, for which the credential is based, takes a comprehensive look at the energy industry, including nuclear, natural gas, and renewable. Instructor guides and student materials are provided as part of the program, focusing on experiential learning techniques with a comprehensive online assessment at the end of the course. Students will be required to pass the assessment to receive the certificate.
Since CEWD is a coalition made up of energy companies, this credential is being created by the industry for the industry. This ensures that students are learning the right material that will help them succeed at their jobs.
Energy Industry Fundamentals is divided into modules. For those who want to offer the opportunity for their students to earn the credentials, all modules must be completed. This may not be the case in all situations, so schools or other training organizations can just use specific modules to fill in what they are already doing.",Energy Industry
cg,6,Insurance Studies Certificate,"The Certificate of Completion (CCL) in Insurance Studies program is designed to provide knowledge and skills training for various entry-level positions in the insurance industry. The courses include an introduction to the insurance industry, in addition to principles of property, liability, personal, and commercial insurance.",Insurance Industry Knowledge
cg,10,BOC Level I Training Certificate of Completion,"Level I classes support the BOC operator skill standard by devoting significant content to the topics of HVAC controls, common opportunities for operational improvements, and building scoping for energy efficiency. The Level I course series provides building operators with knowledge and skill enhancement in the key activities associated with energy efficient building operations. 1001-1006 are core classes, complemented by one of the supplemental classes which are selected by area program administrators to enhance the BOC training experience to specific regions throughout the country.",HVAC
cg,11,Official (ISC)² CISSP Training,"Our training helps you fully prepare for this cybersecurity certification. You will:

   - Review, refresh and expand your information security knowledge (including information security concepts and industry best practices).
   - Identify areas you need to study for the CISSP exam.
   - You can expect an in-depth review of the eight domains of the CISSP CBK - including discussion of industry best practices and timely security concepts.

(ISC)² authorized instructors lead all our training. You're learning from CISSP-certified industry experts who understand you. They are CISSPs themselves. They know how to make the content highly relatable. And they go through a rigorous process to teach to our CBK.

Plus, we use proven adult learning techniques to reinforce topics. This approach increases how much knowledge you retain. Our techniques are highly interactive. They focus on real-world learning activities and scenarios, so you get the most out of training.",Cybersecurity Strategy
cg,12,NSF Certificate in Food Safety Programs,"NSF International, NSF Training & Education Services is pleased to offer the NSF Certificate in Food Safety Programs. Participants taking one or all of the ANSI-accredited NSF courses included in this Certificate Program can have confidence in the quality of the program's administration, management, analysis, design, development and evaluation etc. This four course Certificate Program is designed to provide learners with practical knowledge that can be immediately implemented to meet food safety
requirements and standards.",Food Safety
cg,13,Certified Food Safety Manager Training,Certified Managers have a responsibility to share their food safety knowledge with the other food workers with whom they work. Many of the same training providers who develop training for managers have programs for food handlers. National Registry can help certified managers obtain those other training tools.,Food Safety
cg,42,Professional Development Certificate in SQL Server Business Intelligence Coursework,"An 11-week in-depth program designed to provide a comprehensive introduction to the Microsoft Business Intelligence platform using Microsoft SQL Server. The program focuses on teaching data professionals how to use SQL Server 2012 product features and tools to build business intelligence solutions. These features include analysis services with real-time analytics, integration services, data mining, reporting services, Power View and PowerPivot, Key Performance Indicators, cube and dimensions development, proactive caching, SQL Server Management Studio, Business Intelligence Development Studio, and integration with the Microsoft Office system. Students learn advanced product knowledge and skills needed to support business users.

The Institute offers a session in the fall, winter, and spring quarters. Classes meet one evening per week. The option to take the program strictly online is also available.",Microsoft SQL
cg,44,.Net Web Developer Program,"A 10-week comprehensive program covering web development with Microsoft .NET technologies. Topics include .NET 4 framework; Common Language Runtime (CLR); C# language; Visual Studio 2015; ASP.NET; Web and Windows Forms; ADO.NET, LINQ, and Entity Framework; assemblies; memory management; Global Assembly Cache (GAC); jQuery; SOAP-based Web services; WPF; WCF; .NET security; XML support; and, threading models.

The Institute offers one section of the program each quarter. Classes meet on Tuesday and Thursday evenings and in the morning on approximately half of the Saturdays during the program. The option to take the program entirely online is also available.",.NET
cg,47,Graduate Certificate in Cybersecurity - Critical Infrastructure,"The Cybersecurity area of study blends both information technology (IT) and operational technology (OT) and focuses specifically on securing critical infrastructures in sectors such as energy, water, gas and transportation.  The program prepares students, especially those currently in the utility industry, to advance professionally in the cybersecurity field and prepares IT professionals to transition into the utility industry.",Infrastructure Security Fundamentals
cg,49,Welding & Fabrication Industry Certification Program,"The Monroe Community College Career Welding & Fabrication Program features training for MIG, TIG, Flux Core and Stick welding processes. On-site AWS Qualification training and testing is conducted to validate the students' skill level. A mininum of six tests must be successfully completed and students have the opportunity to take as many more as time permits. The program also provides resume writing assistance, employer research techniques, and mock job interviews. To date, our graduates have been hired by over 110 different Rochester area employers.",MIG (PULSE) Welding
